,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300436.SZ,20250804,101.65,122.06,98.82,120.9,102.3,18.6,18.1818,189458.07,2072922.077
1,300436.SZ,20250801,110.0,115.13,101.0,102.3,114.5,-12.2,-10.655,194953.74,2112892.219
2,300436.SZ,20250731,99.47,116.4,99.0,114.5,97.0,17.5,18.0412,219757.84,2414871.329
3,300436.SZ,20250730,90.1,98.0,88.32,97.0,92.22,4.78,5.1833,174567.92,1621933.284
4,300436.SZ,20250729,84.66,98.8,84.0,92.22,85.25,6.97,8.176,208246.11,1908502.287
5,300436.SZ,20250728,77.5,88.88,76.89,85.25,74.99,10.26,13.6818,187239.56,1532384.182
6,300436.SZ,20250725,73.2,77.49,73.0,74.99,73.2,1.79,2.4454,166334.91,1255775.537
7,300436.SZ,20250724,73.0,74.5,70.18,73.2,72.7,0.5,0.6878,141573.1,1014695.974
8,300436.SZ,20250723,67.43,73.79,67.43,72.7,69.42,3.28,4.7249,161954.16,1157425.663
9,300436.SZ,20250722,71.6,77.61,69.33,69.42,73.47,-4.05,-5.5125,174651.5,1279768.348
10,300436.SZ,20250721,68.5,76.57,67.4,73.47,70.2,3.27,4.6581,189160.45,1363529.537
11,300436.SZ,20250718,70.0,71.2,66.82,70.2,71.57,-1.37,-1.9142,188686.91,1306230.123
12,300436.SZ,20250717,70.4,71.75,68.6,71.57,74.87,-3.3,-4.4076,236133.59,1662393.342
13,300436.SZ,20250716,65.54,77.09,64.2,74.87,64.24,10.63,16.5473,330196.24,2339084.2
14,300436.SZ,20250715,63.84,64.77,60.5,64.24,62.51,1.73,2.7676,222942.17,1404186.177
15,300436.SZ,20250714,62.51,66.55,61.4,62.51,62.0,0.51,0.8226,288735.43,1842975.293
16,300436.SZ,20250711,60.7,65.19,59.02,62.0,57.8,4.2,7.2664,289248.01,1782511.073
17,300436.SZ,20250710,57.01,60.06,55.79,57.8,58.32,-0.52,-0.8916,222977.01,1292755.357
18,300436.SZ,20250709,63.02,63.5,57.29,58.32,60.22,-1.9,-3.1551,276366.17,1657629.926
19,300436.SZ,20250708,57.01,63.7,55.86,60.22,55.89,4.33,7.7474,286981.71,1723620.459
20,300436.SZ,20250707,54.51,60.2,54.0,55.89,51.34,4.55,8.8625,398597.42,2262797.754
21,300436.SZ,20250704,45.0,51.34,44.01,51.34,42.78,8.56,20.0094,356788.26,1715428.301
22,300436.SZ,20250703,36.0,42.78,35.66,42.78,35.65,7.13,20.0,200099.37,788791.692
23,300436.SZ,20250702,36.21,36.9,35.34,35.65,36.64,-0.99,-2.702,65321.0,235401.121
24,300436.SZ,20250701,35.73,37.12,35.2,36.64,35.9,0.74,2.0613,105310.27,382341.607
25,300436.SZ,20250630,35.52,36.58,35.0,35.9,34.54,1.36,3.9375,90218.0,322689.478
26,300436.SZ,20250627,33.5,35.24,33.23,34.54,33.44,1.1,3.2895,95933.79,330384.037
27,300436.SZ,20250626,33.86,34.2,33.08,33.44,34.09,-0.65,-1.9067,62785.5,210255.148
28,300436.SZ,20250625,34.2,34.99,33.66,34.09,33.97,0.12,0.3533,76464.0,261586.925
29,300436.SZ,20250624,34.2,34.59,33.77,33.97,34.19,-0.22,-0.6435,88181.0,300893.602
30,300436.SZ,20250623,32.88,34.66,32.85,34.19,33.58,0.61,1.8166,101410.99,342244.5
31,300436.SZ,20250620,33.01,34.12,32.52,33.58,33.3,0.28,0.8408,125369.5,419173.078
32,300436.SZ,20250619,36.92,37.4,33.28,33.3,37.55,-4.25,-11.3182,201805.5,705258.161
33,300436.SZ,20250618,38.7,40.52,37.45,37.55,43.01,-5.46,-12.6947,255875.43,995794.453
34,300436.SZ,20250617,42.51,46.24,40.53,43.01,38.53,4.48,11.6273,358386.94,1558120.398
35,300436.SZ,20250616,36.8,40.87,36.5,38.53,34.06,4.47,13.1239,257998.0,1007011.6
36,300436.SZ,20250613,35.8,36.25,33.93,34.06,35.99,-1.93,-5.3626,75076.74,260727.302
37,300436.SZ,20250612,35.49,36.25,35.18,35.99,35.66,0.33,0.9254,69833.1,249917.565
38,300436.SZ,20250611,36.5,36.8,35.25,35.66,36.86,-1.2,-3.2556,78272.0,279763.485
39,300436.SZ,20250610,35.01,38.82,34.9,36.86,35.4,1.46,4.1243,163914.83,605515.215
40,300436.SZ,20250609,33.33,36.2,33.27,35.4,33.5,1.9,5.6716,138470.1,486209.297
41,300436.SZ,20250606,32.8,33.86,32.28,33.5,32.98,0.52,1.5767,77083.0,254143.114
42,300436.SZ,20250605,35.4,35.88,32.68,32.98,35.58,-2.6,-7.3075,116964.49,393193.185
43,300436.SZ,20250604,34.79,36.18,34.39,35.58,35.14,0.44,1.2521,138118.65,486068.892
44,300436.SZ,20250603,30.75,36.18,30.74,35.14,31.45,3.69,11.7329,185922.49,624010.917
45,300436.SZ,20250530,29.85,32.87,29.85,31.45,29.99,1.46,4.8683,114031.0,357635.988
46,300436.SZ,20250529,28.1,30.28,28.03,29.99,28.25,1.74,6.1593,71492.0,211017.925
47,300436.SZ,20250528,29.1,29.43,28.12,28.25,29.42,-1.17,-3.9769,38751.65,110672.075
48,300436.SZ,20250527,28.52,29.44,28.43,29.42,28.64,0.78,2.7235,42341.65,123538.05
49,300436.SZ,20250526,29.6,29.79,28.5,28.64,29.57,-0.93,-3.1451,38815.0,111759.259
50,300436.SZ,20250523,29.79,30.45,29.26,29.57,29.37,0.2,0.681,44704.0,132477.82
51,300436.SZ,20250522,29.41,30.97,28.81,29.37,29.3,0.07,0.2389,47760.0,142325.699
52,300436.SZ,20250521,29.57,30.09,29.3,29.3,29.51,-0.21,-0.7116,36348.37,107998.439
53,300436.SZ,20250520,29.43,30.28,29.23,29.51,29.43,0.08,0.2718,40358.0,119954.246
54,300436.SZ,20250519,29.99,30.28,29.01,29.43,30.28,-0.85,-2.8071,46986.35,138098.26
55,300436.SZ,20250516,30.41,31.18,30.04,30.28,31.02,-0.74,-2.3856,54802.85,167069.261
56,300436.SZ,20250515,32.01,33.13,30.8,31.02,30.52,0.5,1.6383,88404.5,282392.937
57,300436.SZ,20250514,30.71,31.16,30.35,30.52,30.71,-0.19,-0.6187,23560.0,72262.114
58,300436.SZ,20250513,30.8,31.71,30.5,30.71,30.36,0.35,1.1528,27484.0,85004.094
59,300436.SZ,20250512,30.84,31.06,30.18,30.36,30.85,-0.49,-1.5883,23876.0,72809.47
60,300436.SZ,20250509,31.17,32.12,30.81,30.85,31.19,-0.34,-1.0901,26183.0,82076.859
61,300436.SZ,20250508,30.6,31.47,30.48,31.19,30.67,0.52,1.6955,27996.0,86946.955
62,300436.SZ,20250507,30.66,31.19,30.5,30.67,30.53,0.14,0.4586,26175.0,80506.857
63,300436.SZ,20250506,30.11,30.64,29.93,30.53,30.05,0.48,1.5973,22085.0,67193.784
64,300436.SZ,20250430,29.39,30.2,29.39,30.05,29.39,0.66,2.2457,19974.0,59837.293
65,300436.SZ,20250429,29.54,29.88,29.18,29.39,29.79,-0.4,-1.3427,21712.0,63869.605
66,300436.SZ,20250428,29.62,30.11,29.15,29.79,30.11,-0.32,-1.0628,23380.0,69225.638
67,300436.SZ,20250425,32.65,32.78,29.85,30.11,32.11,-2.0,-6.2286,65457.0,201129.887
68,300436.SZ,20250424,31.66,32.25,31.38,32.11,31.74,0.37,1.1657,37995.0,121056.217
69,300436.SZ,20250423,31.55,32.08,31.26,31.74,31.5,0.24,0.7619,36767.0,116282.663
70,300436.SZ,20250422,30.5,32.1,30.46,31.5,30.62,0.88,2.8739,46931.0,146714.054
71,300436.SZ,20250421,29.68,31.19,29.3,30.62,29.68,0.94,3.1671,35308.52,107617.896
72,300436.SZ,20250418,30.24,30.72,29.48,29.68,30.28,-0.6,-1.9815,25425.0,76071.678
73,300436.SZ,20250417,30.3,31.3,30.22,30.28,30.4,-0.12,-0.3947,28779.0,87991.372
74,300436.SZ,20250416,31.24,31.42,29.56,30.4,31.29,-0.89,-2.8444,41873.0,127029.755
75,300436.SZ,20250415,31.8,32.32,31.0,31.29,31.63,-0.34,-1.0749,47150.0,149113.0
76,300436.SZ,20250414,29.4,33.21,29.3,31.63,28.9,2.73,9.4464,83633.0,263291.528
77,300436.SZ,20250411,28.76,29.25,28.25,28.9,28.76,0.14,0.4868,44262.0,127409.394
78,300436.SZ,20250410,27.61,28.97,27.61,28.76,27.18,1.58,5.8131,48270.0,137331.713
79,300436.SZ,20250409,26.6,27.34,24.44,27.18,26.64,0.54,2.027,65281.0,172240.925
80,300436.SZ,20250408,25.64,27.38,25.64,26.64,25.64,1.0,3.9002,42205.32,112453.409
81,300436.SZ,20250407,29.93,30.48,25.64,25.64,32.05,-6.41,-20.0,69586.61,190488.083
82,300436.SZ,20250403,32.6,33.64,32.0,32.05,33.63,-1.58,-4.6982,38738.42,126178.118
83,300436.SZ,20250402,34.07,34.39,33.5,33.63,34.44,-0.81,-2.3519,26584.0,90128.668
84,300436.SZ,20250401,32.84,34.95,32.51,34.44,32.51,1.93,5.9366,59506.0,202655.035
85,300436.SZ,20250331,32.9,33.27,32.0,32.51,33.0,-0.49,-1.4848,26679.0,86903.493
86,300436.SZ,20250328,33.22,34.5,33.0,33.0,33.13,-0.13,-0.3924,37367.36,126144.261
87,300436.SZ,20250327,32.4,33.4,31.4,33.13,32.3,0.83,2.5697,38621.0,126386.253
88,300436.SZ,20250326,32.12,32.66,32.03,32.3,32.29,0.01,0.031,28265.0,91400.042
89,300436.SZ,20250325,33.6,33.73,32.08,32.29,33.5,-1.21,-3.6119,29470.36,96084.619
90,300436.SZ,20250324,34.5,34.99,32.72,33.5,34.58,-1.08,-3.1232,37612.25,126842.235
91,300436.SZ,20250321,36.53,36.8,34.57,34.58,36.46,-1.88,-5.1563,43112.0,152647.061
92,300436.SZ,20250320,36.0,36.49,35.81,36.46,36.2,0.26,0.7182,23218.36,84083.457
93,300436.SZ,20250319,36.7,37.7,35.74,36.2,36.83,-0.63,-1.7106,41835.36,153171.007
94,300436.SZ,20250318,36.8,37.15,36.2,36.83,36.52,0.31,0.8488,36599.0,134517.036
95,300436.SZ,20250317,37.25,37.9,36.52,36.52,37.25,-0.73,-1.9597,36749.0,135568.512
96,300436.SZ,20250314,36.95,37.95,36.66,37.25,36.7,0.55,1.4986,44535.0,165483.49
97,300436.SZ,20250313,39.0,39.13,36.51,36.7,38.93,-2.23,-5.7282,46112.1,172444.075
98,300436.SZ,20250312,39.06,40.66,38.83,38.93,39.06,-0.13,-0.3328,48557.9,191238.492
99,300436.SZ,20250311,39.95,40.1,37.77,39.06,40.47,-1.41,-3.4841,77720.6,300589.034
100,300436.SZ,20250310,36.5,41.2,36.5,40.47,36.41,4.06,11.1508,127147.0,494865.452
101,300436.SZ,20250307,34.58,36.47,34.3,36.41,34.78,1.63,4.6866,81936.0,290543.175
102,300436.SZ,20250306,33.9,35.15,33.76,34.78,33.94,0.84,2.475,55087.0,189942.373
103,300436.SZ,20250305,33.68,34.66,33.18,33.94,33.69,0.25,0.7421,37203.99,126369.775
104,300436.SZ,20250304,33.35,34.25,32.91,33.69,33.32,0.37,1.1104,26729.0,89796.032
105,300436.SZ,20250303,32.58,33.73,32.3,33.32,32.46,0.86,2.6494,31517.0,104726.533
