,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600513.SH,20250804,18.93,20.82,18.3,20.82,18.93,1.89,9.9842,621233.66,1202708.196
1,600513.SH,20250801,17.77,19.4,17.75,18.93,17.64,1.29,7.3129,670993.73,1279230.975
2,600513.SH,20250731,18.5,18.79,17.55,17.64,18.28,-0.64,-3.5011,460221.98,832663.665
3,600513.SH,20250730,19.28,19.99,17.95,18.28,19.21,-0.93,-4.8412,594139.48,1126401.866
4,600513.SH,20250729,18.22,19.75,18.22,19.21,17.95,1.26,7.0195,695956.85,1329990.866
5,600513.SH,20250728,16.2,17.95,16.2,17.95,16.32,1.63,9.9877,478089.41,829576.172
6,600513.SH,20250725,17.48,17.68,16.3,16.32,16.89,-0.57,-3.3748,448921.53,761099.657
7,600513.SH,20250724,17.0,18.25,16.76,16.89,17.04,-0.15,-0.8803,523426.89,917303.641
8,600513.SH,20250723,16.0,17.3,15.23,17.04,16.71,0.33,1.9749,525428.49,867475.056
9,600513.SH,20250722,17.71,18.25,16.09,16.71,17.88,-1.17,-6.5436,704786.65,1209118.585
10,600513.SH,20250721,16.05,18.43,15.91,17.88,16.75,1.13,6.7463,762689.18,1355146.701
11,600513.SH,20250718,17.0,17.3,15.34,16.75,16.64,0.11,0.6611,676237.42,1100672.107
12,600513.SH,20250717,17.43,17.94,16.34,16.64,16.31,0.33,2.0233,787978.22,1350423.832
13,600513.SH,20250716,14.3,16.31,14.23,16.31,14.83,1.48,9.9798,538409.34,816935.658
14,600513.SH,20250715,16.0,16.0,14.83,14.83,16.48,-1.65,-10.0121,308091.38,462655.507
15,600513.SH,20250714,15.06,16.48,15.06,16.48,14.98,1.5,10.0134,369856.74,591298.946
16,600513.SH,20250711,14.28,14.98,14.17,14.98,13.62,1.36,9.9853,720220.03,1064470.857
17,600513.SH,20250710,12.4,13.62,12.4,13.62,12.38,1.24,10.0162,452718.21,591929.886
18,600513.SH,20250709,13.99,13.99,12.27,12.38,13.08,-0.7,-5.3517,753359.92,968401.512
19,600513.SH,20250708,12.32,13.08,12.25,13.08,11.89,1.19,10.0084,168376.23,213889.315
20,600513.SH,20250707,11.15,11.89,11.15,11.89,10.81,1.08,9.9907,268253.83,316188.565
21,600513.SH,20250704,10.59,11.07,10.4,10.81,10.57,0.24,2.2706,288863.19,310314.054
22,600513.SH,20250703,10.32,10.61,10.19,10.57,10.34,0.23,2.2244,231513.19,242846.701
23,600513.SH,20250702,10.23,10.7,10.17,10.34,10.22,0.12,1.1742,263141.26,274840.447
24,600513.SH,20250701,10.13,10.34,10.04,10.22,10.03,0.19,1.8943,222255.8,227078.102
25,600513.SH,20250630,10.01,10.06,9.85,10.03,10.0,0.03,0.3,98592.0,98422.349
26,600513.SH,20250627,10.01,10.09,9.96,10.0,9.98,0.02,0.2004,114521.02,114717.906
27,600513.SH,20250626,9.98,10.19,9.94,9.98,10.11,-0.13,-1.2859,149502.82,149584.466
28,600513.SH,20250625,10.22,10.43,10.0,10.11,10.2,-0.09,-0.8824,324551.01,329383.305
29,600513.SH,20250624,9.28,10.2,9.28,10.2,9.27,0.93,10.0324,192364.27,193503.78
30,600513.SH,20250623,9.05,9.32,9.05,9.27,9.18,0.09,0.9804,46155.56,42594.049
31,600513.SH,20250620,9.3,9.33,9.16,9.27,9.28,-0.01,-0.1078,55653.74,51412.753
32,600513.SH,20250619,9.51,9.61,9.25,9.28,9.57,-0.29,-3.0303,78526.44,73743.182
33,600513.SH,20250618,9.76,9.85,9.52,9.57,9.83,-0.26,-2.645,88775.5,85410.518
34,600513.SH,20250617,10.1,10.15,9.78,9.83,9.95,-0.12,-1.206,98944.65,98054.38
35,600513.SH,20250616,9.95,10.1,9.83,9.95,9.88,0.07,0.7085,96874.0,96635.998
36,600513.SH,20250613,10.3,10.33,9.87,9.88,10.3,-0.42,-4.0777,145251.89,145731.389
37,600513.SH,20250612,10.16,10.53,10.1,10.3,10.16,0.14,1.378,187469.08,193158.025
38,600513.SH,20250611,10.05,10.63,10.05,10.16,10.03,0.13,1.2961,209981.83,215374.974
39,600513.SH,20250610,9.99,10.27,9.87,10.03,10.0,0.03,0.3,153680.52,154663.437
40,600513.SH,20250609,9.69,10.0,9.67,10.0,9.67,0.33,3.4126,119994.48,119118.976
41,600513.SH,20250606,9.67,9.77,9.59,9.67,9.67,0.0,0.0,60773.0,58733.275
42,600513.SH,20250605,9.82,9.87,9.59,9.67,9.82,-0.15,-1.5275,84873.44,82275.195
43,600513.SH,20250604,9.77,9.88,9.74,9.82,9.77,0.05,0.5118,80594.01,78974.729
44,600513.SH,20250603,9.49,9.85,9.49,9.77,9.58,0.19,1.9833,122499.91,119352.35
45,600513.SH,20250530,9.63,9.85,9.54,9.58,9.53,0.05,0.5247,141181.15,136495.834
46,600513.SH,20250529,9.32,9.55,9.22,9.53,9.27,0.26,2.8047,94652.84,89579.192
47,600513.SH,20250528,9.35,9.37,9.24,9.27,9.35,-0.08,-0.8556,50133.45,46630.148
48,600513.SH,20250527,9.19,9.38,9.17,9.35,9.2,0.15,1.6304,65999.0,61353.011
49,600513.SH,20250526,9.32,9.4,9.12,9.2,9.32,-0.12,-1.2876,84058.0,77488.386
50,600513.SH,20250523,9.3,9.58,9.3,9.32,9.3,0.02,0.2151,119964.17,113374.161
51,600513.SH,20250522,9.33,9.41,9.2,9.3,9.38,-0.08,-0.8529,72359.0,67287.241
52,600513.SH,20250521,9.33,9.44,9.32,9.38,9.37,0.01,0.1067,65310.84,61289.092
53,600513.SH,20250520,9.26,9.42,9.26,9.37,9.26,0.11,1.1879,73473.84,68718.725
54,600513.SH,20250519,9.3,9.31,9.16,9.26,9.31,-0.05,-0.5371,71689.94,66215.714
55,600513.SH,20250516,9.13,9.39,9.08,9.31,9.13,0.18,1.9715,128703.0,119095.167
56,600513.SH,20250515,9.04,9.18,8.99,9.13,9.04,0.09,0.9956,66068.93,60153.467
57,600513.SH,20250514,9.08,9.11,8.97,9.04,9.11,-0.07,-0.7684,60312.6,54432.507
58,600513.SH,20250513,9.16,9.22,9.07,9.11,9.11,0.0,0.0,53649.0,49016.807
59,600513.SH,20250512,9.05,9.12,9.0,9.11,9.05,0.06,0.663,65771.17,59590.752
60,600513.SH,20250509,9.11,9.14,9.0,9.05,9.1,-0.05,-0.5495,49242.0,44610.311
61,600513.SH,20250508,8.96,9.11,8.9,9.1,8.98,0.12,1.3363,63251.67,57281.92
62,600513.SH,20250507,8.87,9.04,8.87,8.98,8.87,0.11,1.2401,83092.39,74577.823
63,600513.SH,20250506,8.7,8.87,8.65,8.87,8.99,-0.12,-1.3348,112033.77,98430.208
64,600513.SH,20250430,8.89,9.03,8.89,8.99,8.89,0.1,1.1249,57579.29,51757.15
65,600513.SH,20250429,8.69,8.94,8.68,8.89,8.74,0.15,1.7162,51074.07,45221.988
66,600513.SH,20250428,8.99,8.99,8.74,8.74,9.0,-0.26,-2.8889,63534.97,55908.295
67,600513.SH,20250425,9.04,9.08,8.94,9.0,9.02,-0.02,-0.2217,61951.0,55773.268
68,600513.SH,20250424,9.04,9.16,8.94,9.02,9.04,-0.02,-0.2212,66355.86,60079.827
69,600513.SH,20250423,9.05,9.13,9.02,9.04,9.04,0.0,0.0,62077.87,56216.029
70,600513.SH,20250422,8.94,9.08,8.9,9.04,8.97,0.07,0.7804,85636.97,76989.832
71,600513.SH,20250421,8.9,8.98,8.81,8.97,8.96,0.01,0.1116,97291.0,86973.868
72,600513.SH,20250418,9.19,9.19,8.86,8.96,9.41,-0.45,-4.7821,167521.0,150540.196
73,600513.SH,20250417,9.3,9.44,9.26,9.41,9.35,0.06,0.6417,46062.03,43256.794
74,600513.SH,20250416,9.45,9.48,9.19,9.35,9.53,-0.18,-1.8888,61761.0,57658.471
75,600513.SH,20250415,9.39,9.59,9.32,9.53,9.4,0.13,1.383,70981.0,67156.141
76,600513.SH,20250414,9.29,9.5,9.26,9.4,9.21,0.19,2.063,79038.0,74346.653
77,600513.SH,20250411,9.22,9.39,9.15,9.21,9.29,-0.08,-0.8611,85059.0,78794.61
78,600513.SH,20250410,9.21,9.44,9.2,9.29,9.11,0.18,1.9759,132809.79,123870.834
79,600513.SH,20250409,8.96,9.2,8.3,9.11,9.17,-0.06,-0.6543,178088.01,155492.474
80,600513.SH,20250408,9.26,9.46,8.97,9.17,9.42,-0.25,-2.6539,190213.03,174598.104
81,600513.SH,20250407,9.96,10.2,9.42,9.42,10.47,-1.05,-10.0287,167713.52,162133.409
82,600513.SH,20250403,10.43,10.61,10.38,10.47,10.42,0.05,0.4798,163091.78,171026.006
83,600513.SH,20250402,10.5,10.6,10.3,10.42,10.51,-0.09,-0.8563,264583.71,277380.67
84,600513.SH,20250401,10.0,10.87,9.94,10.51,9.88,0.63,6.3765,386738.77,409953.256
85,600513.SH,20250331,10.05,10.2,9.75,9.88,10.14,-0.26,-2.5641,115886.68,115047.048
86,600513.SH,20250328,10.19,10.47,10.12,10.14,10.2,-0.06,-0.5882,167567.23,172309.082
87,600513.SH,20250327,10.11,10.29,9.95,10.2,10.16,0.04,0.3937,137415.66,139096.113
88,600513.SH,20250326,9.84,10.3,9.8,10.16,9.83,0.33,3.3571,166500.86,168873.306
89,600513.SH,20250325,9.7,9.85,9.66,9.83,9.78,0.05,0.5112,45530.2,44442.929
90,600513.SH,20250324,9.88,9.93,9.6,9.78,9.87,-0.09,-0.9119,67489.02,65993.554
91,600513.SH,20250321,9.93,10.08,9.82,9.87,9.96,-0.09,-0.9036,68950.2,68381.731
92,600513.SH,20250320,9.97,10.03,9.94,9.96,9.99,-0.03,-0.3003,51889.0,51780.269
93,600513.SH,20250319,9.97,10.06,9.94,9.99,9.96,0.03,0.3012,77315.01,77215.248
94,600513.SH,20250318,9.94,9.96,9.84,9.96,9.88,0.08,0.8097,61393.3,60810.05
95,600513.SH,20250317,9.85,9.91,9.82,9.88,9.84,0.04,0.4065,66327.21,65448.751
96,600513.SH,20250314,9.64,9.85,9.61,9.84,9.64,0.2,2.0747,101284.0,99035.144
97,600513.SH,20250313,9.7,9.71,9.52,9.64,9.71,-0.07,-0.7209,45469.69,43676.555
98,600513.SH,20250312,9.66,9.76,9.64,9.71,9.69,0.02,0.2064,55952.0,54275.539
99,600513.SH,20250311,9.57,9.7,9.53,9.69,9.66,0.03,0.3106,47017.07,45174.841
100,600513.SH,20250310,9.57,9.68,9.55,9.66,9.51,0.15,1.5773,52807.6,50828.033
101,600513.SH,20250307,9.57,9.64,9.48,9.51,9.63,-0.12,-1.2461,52469.0,50187.271
102,600513.SH,20250306,9.51,9.64,9.49,9.63,9.51,0.12,1.2618,49508.38,47408.909
103,600513.SH,20250305,9.61,9.63,9.44,9.51,9.65,-0.14,-1.4508,57820.65,54921.954
104,600513.SH,20250304,9.59,9.65,9.5,9.65,9.58,0.07,0.7307,37647.0,36143.602
105,600513.SH,20250303,9.59,9.73,9.54,9.58,9.53,0.05,0.5247,54122.0,52235.377
106,600513.SH,20250228,9.77,9.84,9.5,9.53,9.8,-0.27,-2.7551,79080.0,76528.917
