date,open,high,low,close
2020-03-20,84.0,84.0,77.57,79.91
2020-03-19,79.75,82.81,79.3,82.6
2020-03-18,82.0,84.78,80.0,80.06
2020-03-17,80.0,82.4,76.88,81.39
2020-03-16,82.52,83.66,77.0,77.66
2020-03-13,75.0,83.33,75.0,81.98
2020-03-12,79.0,82.57,78.9,80.09
2020-03-11,85.56,86.18,81.6,81.84
2020-03-10,79.2,86.01,79.2,85.56
2020-03-09,83.0,85.0,78.93,78.93
2020-03-06,84.71,88.0,84.5,85.75
2020-03-05,89.58,89.71,85.06,86.98
2020-03-04,88.5,89.5,84.5,87.0
2020-03-03,86.2,91.35,85.31,87.6
2020-03-02,86.2,87.3,81.36,85.31
2020-02-28,86.5,89.76,85.23,85.23
2020-02-27,94.5,103.5,92.02,94.7
2020-02-26,91.8,101.7,91.01,94.8
2020-02-25,92.98,95.0,86.97,94.12
2020-02-24,85.4,93.78,84.98,93.78
2020-02-21,81.0,85.25,79.21,85.25
2020-02-20,77.58,78.81,75.88,77.5
2020-02-19,74.38,80.5,74.02,76.73
2020-02-18,70.3,77.33,69.95,75.94
2020-02-17,68.6,70.96,68.2,70.3
2020-02-14,67.1,70.41,67.1,68.65
2020-02-13,69.0,69.7,67.49,67.9
2020-02-12,66.98,69.69,66.5,69.48
2020-02-11,68.47,68.5,66.6,67.4
2020-02-10,68.65,68.7,66.27,67.35
2020-02-07,66.3,68.99,65.51,68.47
2020-02-06,65.0,66.5,64.11,65.58
2020-02-05,63.0,66.66,62.11,64.46
2020-02-04,58.57,65.0,58.57,63.3
2020-02-03,65.07,65.07,65.07,65.07
2020-01-23,77.0,77.63,71.68,72.3
2020-01-22,75.5,78.69,74.5,77.73
2020-01-21,76.75,79.21,75.77,76.42
2020-01-20,77.0,77.61,74.15,76.7
2020-01-17,80.32,81.3,76.41,76.84
2020-01-16,77.77,82.8,76.15,80.18
2020-01-15,75.99,77.5,75.28,76.6
2020-01-14,77.0,77.34,75.24,75.28
2020-01-13,76.5,77.48,76.02,77.05
2020-01-10,78.69,78.95,75.85,76.83
2020-01-09,76.5,79.48,75.89,78.64
2020-01-08,77.18,77.58,75.11,75.15
2020-01-07,74.2,79.5,73.13,78.21
2020-01-06,72.53,73.8,71.68,72.97
2020-01-03,73.2,73.95,72.38,72.45
2020-01-02,72.08,74.26,71.75,73.43
2019-12-31,71.15,72.8,71.15,71.69
2019-12-30,70.2,71.99,68.88,71.58
2019-12-27,73.01,73.29,70.92,71.1
2019-12-26,73.02,73.87,72.1,73.02
2019-12-25,72.25,74.81,72.0,73.54
2019-12-24,71.83,73.08,71.83,72.8
2019-12-23,72.5,73.66,70.5,71.75
2019-12-20,77.0,77.79,73.9,73.94
2019-12-19,78.95,81.5,78.23,78.36
2019-12-18,79.36,80.95,78.5,78.84
2019-12-17,80.0,80.79,77.8,79.82
2019-12-16,78.86,82.18,78.58,81.0
2019-12-13,79.0,79.45,77.28,78.7
2019-12-12,80.0,80.39,77.45,79.01
2019-12-11,83.0,83.79,79.25,79.92
2019-12-10,82.0,84.03,80.88,83.5
2019-12-09,75.75,83.79,75.55,81.6
2019-12-06,73.18,77.0,72.46,76.17
2019-12-05,73.45,73.73,71.88,73.56
2019-12-04,72.49,74.34,71.29,73.5
2019-12-03,73.0,74.44,71.5,72.26
2019-12-02,67.9,69.4,67.21,68.83
2019-11-29,67.14,68.49,66.68,67.78
2019-11-28,67.57,68.3,66.83,67.28
2019-11-27,67.2,68.8,67.01,67.9
2019-11-26,66.99,68.3,66.36,68.3
2019-11-25,68.85,69.26,66.02,66.84
2019-11-22,74.5,74.88,69.23,69.81
2019-11-21,74.0,75.59,72.77,75.29
2019-11-20,70.87,76.5,70.51,73.97
2019-11-19,70.22,71.5,69.59,71.24
2019-11-18,70.51,71.9,69.49,70.62
2019-11-15,67.72,73.88,67.36,71.77
2019-11-14,67.3,68.56,66.7,67.91
2019-11-13,66.69,68.71,66.08,67.39
2019-11-12,66.58,67.04,64.11,66.68
2019-11-11,68.01,68.02,66.3,66.58
2019-11-08,69.21,69.95,68.7,68.71
2019-11-07,70.0,70.38,68.65,68.97
2019-11-06,72.6,72.6,69.25,69.81
2019-11-05,72.0,72.85,70.85,72.48
2019-11-04,70.76,72.9,70.58,71.74
2019-11-01,69.58,70.69,69.26,70.35
2019-10-31,71.08,71.72,68.9,68.96
2019-10-30,68.8,72.79,68.31,71.1
2019-10-29,74.86,74.86,71.0,71.04
2019-10-28,74.47,76.06,72.0,75.35
2019-10-25,71.12,72.45,70.5,71.81
2019-10-24,70.64,71.95,69.66,71.55
2019-10-23,71.94,72.75,70.51,70.72
2019-10-22,70.94,72.6,70.11,71.97
2019-10-21,69.54,71.5,67.6,70.44
2019-10-18,71.53,72.66,69.86,69.92
2019-10-17,72.99,73.3,70.9,72.09
2019-10-16,71.0,74.44,70.56,72.61
2019-10-15,73.55,73.55,69.6,70.65
2019-10-14,73.16,75.17,72.0,74.58
2019-10-11,74.95,75.0,71.7,72.81
2019-10-10,73.73,75.68,73.0,75.16
2019-10-09,72.64,75.25,71.57,74.4
2019-10-08,72.43,75.74,72.08,72.72
2019-09-30,72.95,74.25,71.7,71.78
2019-09-27,73.18,74.3,72.0,72.72
2019-09-26,75.4,76.14,71.89,72.89
2019-09-25,80.01,80.47,74.5,75.41
2019-09-24,83.5,85.27,81.68,81.84
2019-09-23,79.05,85.5,78.31,85.2
2019-09-20,81.43,82.37,78.78,81.39
2019-09-19,78.53,81.1,77.91,81.01
2019-09-18,79.47,80.0,77.22,78.1
2019-09-17,81.0,81.0,76.6,79.81
2019-09-16,80.94,82.6,80.16,81.55
2019-09-12,81.74,82.0,80.02,80.69
2019-09-11,81.55,84.37,80.5,81.4
2019-09-10,89.69,91.2,82.86,84.24
2019-09-09,84.95,92.07,83.0,92.07
2019-09-06,86.0,87.9,82.1,83.7
2019-09-05,86.29,91.91,85.33,86.78
2019-09-04,84.71,86.52,82.87,86.3
2019-09-03,86.0,88.66,82.81,85.0
2019-09-02,76.71,81.51,74.74,81.51
2019-08-30,74.1,75.55,71.01,74.1
2019-08-29,62.4,68.68,62.04,68.68
2019-08-28,58.55,65.28,57.7,62.44
2019-08-27,59.0,62.31,58.42,59.44
2019-08-26,59.03,60.5,57.6,58.46
2019-08-23,59.6,59.98,58.56,58.6
2019-08-22,60.0,60.5,58.08,59.22
2019-08-21,59.99,61.61,59.5,60.76
2019-08-20,60.53,61.29,59.0,60.26
2019-08-19,59.11,62.44,59.11,60.31
2019-08-16,57.35,60.25,56.45,59.0
2019-08-15,49.55,55.77,49.52,55.77
2019-08-14,52.74,52.9,50.31,50.7
2019-08-13,49.3,52.95,49.15,51.33
2019-08-12,48.4,50.08,48.3,49.99
2019-08-09,48.0,50.47,46.6,49.13
