date,open,high,low,close
2020-03-23,4.73,4.77,4.49,4.58
2020-03-20,5.42,5.42,4.78,4.99
2020-03-13,6.1,6.28,5.12,5.46
2020-03-06,6.04,6.81,5.96,6.37
2020-02-28,6.8,7.37,5.81,5.88
2020-02-21,5.61,7.02,5.52,6.67
2020-02-14,5.55,5.75,5.36,5.56
2020-02-07,4.55,5.79,4.54,5.69
2020-01-23,4.9,5.26,4.86,5.06
2020-01-17,4.67,5.0,4.6,4.86
2020-01-10,4.55,4.94,4.5,4.67
2020-01-03,4.49,4.73,4.33,4.65
2019-12-27,4.43,4.8,4.28,4.52
2019-12-20,4.02,4.6,4.02,4.35
2019-12-13,4.0,4.13,3.89,3.94
2019-12-06,3.9,4.01,3.71,3.96
2019-11-29,3.48,3.88,3.46,3.84
2019-11-22,3.52,3.56,3.44,3.48
2019-11-15,3.58,3.6,3.39,3.48
2019-11-08,3.4,3.67,3.37,3.6
2019-11-01,3.39,3.44,3.26,3.39
2019-10-25,3.4,3.41,3.32,3.38
2019-10-18,3.57,3.62,3.4,3.4
2019-10-11,3.56,3.61,3.45,3.53
2019-09-30,3.55,3.61,3.5,3.56
2019-09-27,3.78,3.9,3.6,3.65
2019-09-20,3.72,3.87,3.61,3.78
2019-09-12,3.45,3.94,3.42,3.72
2019-09-06,3.21,3.44,3.2,3.42
2019-08-30,3.26,3.35,3.19,3.22
2019-08-23,3.45,3.5,3.32,3.35
2019-08-16,3.12,3.48,3.12,3.41
2019-08-09,3.32,3.36,3.03,3.13
2019-08-02,3.47,3.54,3.31,3.34
2019-07-26,3.38,3.54,3.27,3.47
2019-07-19,3.35,3.59,3.29,3.37
2019-07-12,3.35,3.37,3.22,3.33
2019-07-05,3.43,3.6,3.32,3.36
2019-06-28,3.29,3.39,3.19,3.33
2019-06-21,3.2,3.32,3.16,3.29
2019-06-14,3.16,3.37,3.14,3.2
2019-06-06,3.31,3.34,3.11,3.13
2019-05-31,3.27,3.4,3.26,3.31
2019-05-24,3.42,3.47,3.26,3.27
2019-05-17,3.51,3.57,3.39,3.41
2019-05-10,3.48,3.58,3.35,3.55
2019-04-30,3.6,3.63,3.42,3.59
2019-04-26,3.84,3.87,3.6,3.6
2019-04-19,3.9,4.01,3.76,3.82
2019-04-12,4.09,4.11,3.82,3.84
2019-04-04,4.08,4.18,4.06,4.08
2019-03-29,4.3,4.44,3.9,4.06
2019-03-22,3.73,4.11,3.66,4.04
2019-03-15,3.61,3.94,3.61,3.75
2019-03-08,3.48,4.13,3.42,3.63
2019-03-01,3.31,3.63,3.2,3.29
2019-02-22,3.24,3.36,3.13,3.19
2019-02-15,2.84,3.52,2.83,3.22
2019-02-01,2.72,2.84,2.68,2.84
2019-01-25,2.67,2.75,2.66,2.72
2019-01-18,2.74,2.74,2.65,2.67
2019-01-11,2.7,2.93,2.65,2.74
2019-01-04,2.46,2.58,2.45,2.57
2018-12-28,2.38,2.45,2.33,2.45
2018-12-21,2.43,2.45,2.38,2.4
2018-12-14,2.54,2.54,2.39,2.45
2018-12-07,2.53,2.56,2.48,2.56
2018-11-30,2.44,2.55,2.42,2.47
2018-11-23,2.61,2.62,2.44,2.45
2018-11-16,2.46,2.63,2.45,2.61
2018-11-09,2.53,2.55,2.47,2.47
2018-11-02,2.44,2.54,2.39,2.53
2018-10-26,2.41,2.54,2.37,2.44
2018-10-19,2.5,2.52,2.27,2.39
2018-10-12,2.78,2.79,2.35,2.48
2018-09-28,2.82,2.85,2.77,2.81
2018-09-21,2.72,2.85,2.66,2.83
2018-09-14,2.78,2.78,2.69,2.73
2018-09-07,2.84,2.84,2.76,2.77
2018-08-31,2.81,2.94,2.8,2.85
2018-08-24,2.78,2.85,2.76,2.8
2018-08-17,2.8,2.9,2.75,2.78
2018-08-10,2.78,2.9,2.73,2.84
2018-08-03,3.0,3.03,2.76,2.77
2018-07-27,2.88,3.15,2.87,3.0
2018-07-20,2.87,2.94,2.75,2.9
2018-07-13,2.72,2.91,2.69,2.87
2018-07-06,2.88,2.89,2.64,2.74
2018-06-29,2.8,2.9,2.72,2.9
2018-06-22,3.01,3.02,2.65,2.8
2018-06-15,3.11,3.17,3.03,3.05
2018-06-08,3.12,3.21,3.11,3.13
2018-06-01,3.23,3.23,3.04,3.1
2018-05-25,3.29,3.32,3.22,3.22
2018-05-18,3.3,3.33,3.22,3.25
2018-05-11,3.33,3.39,3.29,3.3
2018-05-04,3.26,3.38,3.25,3.31
2018-04-27,3.22,3.34,3.19,3.25
2018-04-20,3.43,3.44,3.17,3.22
2018-04-13,3.42,3.51,3.32,3.45
2018-04-04,3.48,3.54,3.42,3.44
2018-03-30,3.41,3.52,3.36,3.47
2018-03-23,3.8,3.85,3.33,3.49
2018-03-16,3.84,3.94,3.76,3.81
2018-03-09,3.65,3.88,3.55,3.82
2018-03-02,3.46,3.78,3.45,3.64
2018-02-23,3.44,3.77,3.18,3.43
