date,open,high,low,close
2020-03-20,4.91,5.47,4.56,5.3
2020-03-13,4.85,5.05,4.57,4.87
2020-03-06,4.62,4.93,4.62,4.89
2020-02-28,4.9,4.99,4.6,4.62
2020-02-21,4.53,4.98,4.5,4.89
2020-02-14,4.36,4.61,4.31,4.53
2020-02-07,4.51,4.51,4.06,4.42
2020-01-23,5.29,5.32,4.99,5.01
2020-01-17,5.39,5.45,5.3,5.32
2020-01-10,5.39,5.46,5.29,5.42
2020-01-03,5.28,5.4,5.22,5.4
2019-12-27,5.23,5.34,5.17,5.27
2019-12-20,5.21,5.37,5.19,5.3
2019-12-13,5.22,5.42,5.15,5.23
2019-12-06,5.05,5.2,5.05,5.18
2019-11-29,5.1,5.12,5.04,5.07
2019-11-22,5.05,5.12,5.01,5.1
2019-11-15,5.23,5.23,5.05,5.06
2019-11-08,5.19,5.31,5.19,5.24
2019-11-01,5.24,5.31,5.11,5.19
2019-10-25,5.17,5.26,5.1,5.23
2019-10-18,5.28,5.36,5.15,5.17
2019-10-11,5.22,5.34,5.13,5.25
2019-09-30,5.34,5.34,5.18,5.2
2019-09-27,5.62,5.64,5.31,5.33
2019-09-20,5.61,5.7,5.42,5.63
2019-09-12,5.62,5.64,5.5,5.59
2019-09-06,5.28,5.65,5.28,5.57
2019-08-30,5.27,5.46,5.19,5.28
2019-08-23,5.25,5.45,5.23,5.33
2019-08-16,5.09,5.27,5.05,5.25
2019-08-09,5.44,5.45,5.05,5.1
2019-08-02,5.53,5.62,5.4,5.45
2019-07-26,5.62,5.87,5.5,5.6
2019-07-19,5.52,5.63,5.44,5.58
2019-07-12,5.69,5.7,5.46,5.52
2019-07-05,5.7,5.75,5.66,5.69
2019-06-28,5.72,5.75,5.57,5.63
2019-06-21,5.53,5.74,5.49,5.72
2019-06-14,5.47,5.67,5.41,5.51
2019-06-06,5.79,5.79,5.45,5.47
2019-05-31,5.74,5.85,5.67,5.78
2019-05-24,5.76,5.98,5.6,5.72
2019-05-17,5.82,6.24,5.72,5.76
2019-05-10,6.17,6.17,5.61,5.9
2019-04-30,6.43,6.46,6.08,6.24
2019-04-26,7.01,7.06,6.3,6.41
2019-04-19,6.76,6.99,6.62,6.98
2019-04-12,7.04,7.06,6.66,6.72
2019-04-04,6.83,7.07,6.8,7.03
2019-03-29,6.78,7.15,6.43,6.82
2019-03-22,6.32,7.18,6.28,6.95
2019-03-15,6.15,6.52,6.1,6.29
2019-03-08,6.18,6.5,6.1,6.15
2019-03-01,5.88,6.25,5.87,6.11
2019-02-22,5.72,5.87,5.68,5.86
2019-02-15,5.47,5.73,5.44,5.67
2019-02-01,5.49,5.54,5.28,5.44
2019-01-25,5.53,5.62,5.44,5.46
2019-01-18,5.53,5.64,5.46,5.53
2019-01-11,5.48,5.53,5.4,5.51
2019-01-04,5.24,5.45,5.23,5.43
2018-12-28,5.24,5.31,5.1,5.23
2018-12-21,5.37,5.41,5.21,5.25
2018-12-14,5.78,5.79,5.38,5.4
2018-12-07,5.6,5.9,5.6,5.79
2018-11-30,5.6,5.72,5.41,5.5
2018-11-23,5.93,5.97,5.57,5.59
2018-11-16,5.53,5.98,5.5,5.89
2018-11-09,5.49,5.63,5.39,5.53
2018-11-02,5.26,5.49,5.21,5.49
2018-10-26,5.19,5.43,5.05,5.27
2018-10-19,5.48,5.49,5.02,5.15
2018-10-12,6.28,6.29,5.07,5.42
2018-09-28,6.39,6.53,6.25,6.36
2018-09-21,6.1,6.45,6.01,6.43
2018-09-14,6.06,6.12,5.94,6.1
2018-09-07,5.95,6.2,5.95,6.08
2018-08-31,5.9,6.21,5.9,6.02
2018-08-24,5.92,5.97,5.79,5.94
2018-08-17,5.86,6.12,5.83,5.92
2018-08-10,5.76,5.94,5.64,5.92
2018-08-03,6.16,6.17,5.73,5.77
2018-07-27,5.92,6.22,5.88,6.16
2018-07-20,5.83,6.06,5.8,5.92
2018-07-13,5.71,5.84,5.62,5.84
2018-07-06,5.91,5.92,5.51,5.72
2018-06-29,5.73,5.94,5.68,5.93
2018-06-22,6.2,6.24,5.62,5.72
2018-06-15,6.64,6.68,6.26,6.28
