date,open,high,low,close
2020-03-20,5.32,5.43,3.69,3.83
2020-03-13,4.29,5.15,4.0,5.15
2020-03-06,3.71,4.54,3.69,4.37
2020-02-28,3.99,4.05,3.7,3.7
2020-02-21,3.84,4.09,3.78,4.01
2020-02-14,3.56,4.2,3.53,3.77
2020-02-07,3.6,3.6,3.25,3.58
2020-01-23,4.4,4.41,3.88,4.0
2020-01-17,4.6,4.63,4.37,4.37
2020-01-10,4.56,4.82,4.52,4.66
2020-01-03,4.5,4.63,4.35,4.6
2019-12-27,4.54,4.64,4.44,4.55
2019-12-20,4.45,4.74,4.42,4.56
2019-12-13,4.45,4.77,4.39,4.44
2019-12-06,4.26,4.47,4.25,4.47
2019-11-29,4.39,4.59,4.23,4.26
2019-11-22,4.34,4.63,4.19,4.43
2019-11-15,4.31,4.45,4.16,4.39
2019-11-08,4.41,4.45,4.25,4.34
2019-11-01,4.54,4.64,4.28,4.39
2019-10-25,4.79,4.79,4.46,4.56
2019-10-18,4.95,5.18,4.62,4.62
2019-10-11,4.8,4.92,4.73,4.9
2019-09-30,4.91,4.98,4.77,4.77
2019-09-27,5.05,5.15,4.71,4.87
2019-09-20,5.39,5.59,4.97,5.09
2019-09-12,5.63,5.67,5.1,5.34
2019-09-06,5.47,6.49,5.21,5.59
2019-08-30,4.92,6.28,4.92,5.63
2019-08-23,4.47,5.95,4.44,5.32
2019-08-16,3.88,4.22,3.8,4.06
2019-08-09,4.2,4.24,3.81,3.86
2019-08-02,4.41,4.43,4.15,4.21
2019-07-26,4.41,4.53,4.18,4.44
2019-07-19,4.29,4.72,4.25,4.43
2019-07-12,4.46,4.59,4.21,4.32
2019-07-05,4.51,4.65,4.45,4.5
2019-06-28,4.62,4.68,4.42,4.47
2019-06-21,4.46,4.74,4.42,4.62
2019-06-14,4.14,4.75,4.07,4.47
2019-06-06,4.36,4.5,4.05,4.07
2019-05-31,4.3,4.76,4.23,4.43
2019-05-24,4.34,4.46,4.1,4.23
2019-05-17,4.49,4.66,4.28,4.34
2019-05-10,4.51,4.68,4.31,4.5
2019-04-30,4.88,4.93,4.46,4.74
2019-04-26,5.37,5.56,4.84,4.88
2019-04-19,5.4,5.54,5.2,5.42
2019-04-12,5.58,5.88,5.29,5.39
2019-04-04,5.38,5.67,5.38,5.57
2019-03-29,5.47,6.22,5.21,5.38
2019-03-22,5.44,5.75,5.34,5.65
2019-03-15,4.96,5.87,4.91,5.56
2019-03-08,4.94,5.41,4.83,4.85
2019-03-01,4.71,5.17,4.7,4.93
2019-02-22,4.65,5.02,4.53,4.71
2019-02-15,4.18,4.62,4.17,4.56
2019-02-01,4.59,4.62,3.92,4.17
2019-01-25,4.71,4.78,4.57,4.59
2019-01-18,4.84,4.9,4.62,4.68
2019-01-11,4.74,5.01,4.63,4.83
2019-01-04,4.39,4.7,4.36,4.66
2018-12-28,4.77,4.83,4.33,4.36
2018-12-21,5.13,5.22,4.69,4.85
2018-12-14,5.23,5.56,5.04,5.15
2018-12-07,4.77,5.68,4.66,5.27
2018-11-30,4.46,4.78,4.46,4.65
2018-11-23,4.99,5.23,4.5,4.53
2018-11-16,4.37,5.23,4.31,4.96
2018-11-09,4.44,4.75,4.28,4.39
2018-11-02,4.28,4.49,4.02,4.41
2018-10-26,3.92,4.54,3.92,4.32
2018-10-19,4.45,4.54,3.62,3.87
2018-10-12,4.6,5.06,3.95,4.27
2018-09-28,4.22,4.66,4.11,4.66
2018-09-21,3.87,4.8,3.68,4.46
2018-09-14,3.86,4.04,3.76,3.91
2018-09-07,3.86,4.03,3.74,3.85
2018-08-31,3.89,4.13,3.8,3.85
2018-08-24,3.8,4.01,3.66,3.91
2018-08-17,4.17,4.4,3.84,3.85
2018-08-10,4.47,4.62,4.05,4.17
2018-08-03,4.6,5.68,4.42,4.48
2018-07-27,3.54,4.84,3.5,4.84
2018-07-20,4.22,4.22,3.42,3.54
2018-07-13,4.3,4.37,4.0,4.21
2018-07-06,4.53,4.7,4.05,4.3
2018-06-29,4.63,4.71,4.4,4.55
2018-06-22,5.0,5.0,4.39,4.66
2018-06-15,5.1,5.45,5.0,5.05
2018-06-08,5.42,5.42,5.06,5.14
2018-06-01,5.67,5.81,4.99,5.36
2018-05-25,5.8,5.95,5.55,5.7
2018-05-18,5.88,6.18,5.43,5.73
2018-05-11,5.1,5.95,5.1,5.95
2018-05-04,5.17,5.18,4.97,5.13
2018-04-27,5.13,5.28,5.11,5.15
2018-04-20,5.44,5.45,5.1,5.25
2018-04-13,5.53,5.67,5.4,5.45
2018-04-04,5.6,5.65,5.38,5.61
2018-03-30,5.68,5.76,5.13,5.59
2018-03-23,5.84,6.23,5.6,5.7
2018-03-16,6.14,6.23,5.8,5.91
2018-03-09,5.42,6.68,5.33,6.21
2018-03-02,5.49,5.68,5.33,5.48
2018-02-23,5.35,5.78,5.14,5.4
2018-02-14,5.18,5.38,5.18,5.35
2018-02-09,5.43,5.62,5.08,5.21
2018-02-02,6.08,6.08,5.38,5.63
2018-01-26,6.1,6.19,6.02,6.1
2018-01-19,6.24,6.29,5.96,6.1
2018-01-12,6.38,6.38,6.13,6.24
2018-01-05,6.18,6.65,6.18,6.45
2017-12-29,6.58,6.59,6.14,6.2
2017-12-22,6.69,6.75,6.53,6.6
2017-12-15,6.73,6.73,6.56,6.68
2017-12-08,6.68,6.78,6.51,6.71
2017-12-01,6.65,6.75,6.56,6.68
2017-11-24,7.09,7.09,6.35,6.68
2017-11-17,7.35,7.56,7.01,7.1
2017-11-10,7.13,7.5,7.03,7.34
2017-11-03,7.54,7.55,7.15,7.18
2017-10-27,7.7,7.84,7.55,7.56
2017-10-20,8.35,8.55,7.43,7.74
2017-10-13,7.8,8.09,7.8,7.98
2017-09-29,7.87,7.88,7.69,7.81
2017-09-22,8.06,8.12,7.83,7.88
2017-09-15,8.11,8.24,8.05,8.07
2017-09-08,8.09,8.27,8.02,8.16
2017-09-01,8.11,8.57,8.08,8.12
2017-08-25,8.24,8.34,8.03,8.1
2017-08-18,8.09,8.28,8.0,8.2
2017-08-11,7.99,8.5,7.88,8.18
2017-08-04,8.06,8.15,7.81,7.98
2017-07-28,7.95,8.16,7.81,8.11
2017-07-21,8.13,8.16,7.5,7.95
2017-07-14,8.86,8.88,8.3,8.33
2017-07-07,8.74,9.11,8.67,8.98
2017-06-30,8.68,8.95,8.63,8.76
2017-06-23,8.77,9.17,8.42,8.7
2017-06-16,8.87,8.99,8.57,8.77
2017-06-09,8.05,8.96,7.99,8.83
2017-06-02,8.06,8.12,7.71,8.06
2017-05-26,8.3,8.57,7.36,7.97
2017-05-15,8.88,8.98,8.61,8.7
2017-05-12,9.6,9.68,8.42,8.9
2017-05-05,9.5,10.0,9.38,9.4
2017-04-28,9.57,9.89,8.8,9.66
2017-04-21,10.48,10.48,9.58,9.66
2017-04-14,10.62,11.36,10.45,10.54
2017-04-07,10.29,11.43,10.25,10.93
2017-03-31,10.82,10.98,10.2,10.29
2017-03-24,11.18,11.47,10.76,10.88
2017-03-17,11.29,11.38,10.92,11.18
2017-03-10,11.84,11.96,11.15,11.31
2017-03-03,12.51,13.17,11.48,11.85
2017-02-16,11.85,12.65,11.85,12.41
2017-02-10,11.47,12.71,11.45,11.85
2017-02-03,11.53,11.57,11.4,11.5
2017-01-26,11.37,11.78,11.21,11.53
2017-01-20,12.05,12.1,10.91,11.38
2017-01-13,13.6,14.5,11.88,12.12
2017-01-06,12.55,14.52,12.41,13.9
2016-12-30,12.25,13.95,12.02,12.6
2016-12-23,13.78,14.93,12.22,12.8
2016-12-16,10.89,12.53,10.11,12.53
2016-12-09,10.7,11.19,10.7,10.92
2016-12-02,11.69,11.8,11.07,11.1
2016-11-25,12.02,12.43,11.36,11.61
2016-11-18,11.77,12.65,11.63,12.0
2016-11-11,11.82,12.1,11.51,11.76
2016-11-04,11.67,12.1,11.6,11.94
2016-10-28,11.38,11.69,11.14,11.35
2016-10-21,10.81,11.85,10.7,11.45
2016-10-14,10.8,11.04,10.55,10.77
2016-09-30,10.5,10.63,10.07,10.5
2016-09-23,10.33,10.58,10.32,10.51
2016-09-14,10.62,10.9,10.32,10.33
2016-09-09,10.69,11.05,10.53,10.75
2016-09-02,10.98,11.19,10.52,10.65
2016-08-26,11.79,11.86,10.97,11.03
2016-08-19,11.29,12.29,11.16,11.86
2016-08-12,11.49,11.66,11.0,11.23
2016-08-05,11.95,12.5,11.08,11.57
2016-07-29,11.0,11.87,10.9,11.87
2016-07-01,10.27,11.06,10.2,10.79
2016-06-24,10.17,10.69,9.97,10.48
2016-06-17,10.4,10.58,9.88,10.35
2016-06-08,10.68,11.2,10.52,10.67
2016-06-03,10.25,10.79,10.03,10.67
2016-05-27,10.3,10.56,9.89,10.39
2016-05-20,10.12,10.9,9.81,10.21
2016-05-13,11.46,11.46,9.95,10.04
2016-05-06,12.3,12.77,11.68,11.71
2016-04-29,12.6,12.77,11.8,12.33
2016-04-22,12.84,13.9,12.12,12.6
2016-04-15,12.45,13.2,12.26,12.94
2016-04-08,12.5,13.1,12.28,12.55
2016-04-01,12.5,12.85,11.8,12.54
2016-03-25,12.28,12.96,12.09,12.54
2016-03-18,11.68,12.3,11.2,12.16
2016-03-11,12.05,13.53,11.13,11.39
2016-03-04,12.05,12.79,10.56,11.83
2016-02-26,14.24,14.38,11.8,12.06
2016-02-19,10.65,15.5,10.5,14.11
2016-02-05,10.87,12.54,10.3,11.44
2016-01-29,10.67,11.83,9.78,11.04
2016-01-22,9.19,11.41,9.1,10.68
2016-01-15,10.9,10.9,8.33,9.49
2016-01-08,13.83,13.98,10.2,11.06
2015-12-31,15.03,15.18,13.78,13.9
2015-12-25,14.2,16.8,14.2,14.97
2015-12-18,13.78,14.91,13.4,14.46
2015-12-11,16.6,16.8,13.7,13.86
2015-12-04,11.52,15.86,10.6,15.86
2015-11-27,12.35,12.97,11.33,11.51
2015-11-20,12.19,13.11,11.96,12.44
2015-11-13,12.0,13.51,11.7,12.46
2015-11-06,11.22,12.74,10.72,12.23
2015-10-30,11.69,12.86,10.73,12.1
2015-10-23,10.21,11.98,9.71,11.93
2015-10-16,9.0,10.38,8.9,10.21
2015-10-09,8.35,8.97,8.31,8.9
2015-09-30,8.46,8.59,8.15,8.27
2015-09-25,8.34,9.18,8.2,8.33
2015-09-18,9.45,9.58,7.55,8.53
2015-09-11,8.99,9.94,8.7,9.32
2015-09-02,10.21,10.36,8.41,8.61
2015-08-28,10.78,11.28,8.7,10.41
2015-08-21,16.6,16.81,11.93,11.94
2015-08-14,12.17,16.19,11.88,16.19
2015-08-07,11.98,12.25,10.85,11.93
2015-07-31,12.9,13.11,10.85,12.06
2015-07-24,12.5,14.39,12.05,13.4
2015-07-17,12.98,14.8,11.05,12.6
2015-07-10,15.25,15.35,9.19,12.35
2015-07-03,21.59,22.01,14.0,14.0
2015-06-26,19.35,22.75,17.62,20.91
2015-06-19,24.38,24.86,19.5,19.58
2015-06-12,23.0,24.98,22.0,24.37
2015-06-05,25.37,26.88,21.68,23.41
2015-05-29,22.42,26.93,21.52,25.36
2015-05-22,16.36,23.38,16.02,23.15
2015-05-15,14.25,16.81,13.78,16.78
2015-05-08,15.25,15.58,12.91,14.16
2015-04-30,14.49,15.25,13.55,15.25
2015-04-24,13.8,15.77,12.8,14.28
2015-04-17,12.46,15.97,12.22,13.84
2015-04-10,11.27,12.69,10.78,12.46
2015-04-03,9.48,11.53,9.4,11.11
2015-03-27,9.47,9.6,9.02,9.49
2015-03-20,8.97,9.81,8.8,9.47
2015-03-13,8.91,9.19,8.7,8.87
2015-03-06,9.2,9.3,8.8,8.97
2015-02-27,8.99,9.8,8.65,9.2
2015-02-17,8.16,8.99,8.13,8.99
2015-02-13,7.82,8.25,7.5,8.16
2015-02-06,7.95,8.39,7.72,7.85
2015-01-30,7.94,8.4,7.89,8.11
2015-01-23,7.6,8.28,7.25,8.03
2015-01-16,8.19,8.19,7.32,7.73
2015-01-09,6.87,8.55,6.74,8.23
2014-12-31,7.24,7.32,6.62,6.89
2014-12-26,7.69,7.69,6.94,7.23
2014-12-19,7.91,8.4,7.56,7.71
2014-12-12,7.7,8.12,7.55,7.99
2014-12-05,8.48,8.5,7.68,7.8
2014-11-28,8.38,8.77,8.18,8.51
2014-11-21,7.9,8.6,7.8,8.33
2014-11-14,8.18,8.24,7.6,7.86
2014-11-07,8.35,8.37,7.9,8.15
2014-10-31,7.78,8.39,7.74,8.27
2014-10-24,8.5,8.8,7.7,7.83
2014-10-17,9.2,9.21,8.2,8.57
2014-10-10,9.53,9.53,9.0,9.23
2014-09-30,9.46,9.74,9.21,9.53
2014-09-26,8.91,10.16,8.56,9.4
2014-09-19,8.48,10.25,8.38,8.99
2014-09-12,7.19,8.5,7.19,8.47
2014-09-05,6.48,7.46,6.48,7.33
2014-08-29,6.53,6.66,6.28,6.45
2014-08-22,6.25,6.61,6.2,6.53
2014-08-15,6.25,6.44,6.18,6.25
2014-08-08,6.03,6.27,6.0,6.25
2014-08-01,5.93,6.17,5.88,6.03
2014-07-25,5.97,6.04,5.77,5.92
2014-07-18,5.8,6.39,5.78,5.97
2014-07-11,5.92,5.94,5.71,5.78
2014-07-04,5.93,5.99,5.81,5.91
2014-06-27,5.7,6.03,5.66,5.93
2014-06-20,5.49,6.06,5.45,5.73
2014-06-13,5.41,5.53,5.35,5.48
2014-06-06,5.69,5.69,5.38,5.41
