date,open,high,low,close
2020-03-20,3.8,3.87,3.72,3.83
2020-03-19,3.82,3.96,3.69,3.79
2020-03-18,4.3,4.37,3.9,3.92
2020-03-17,4.25,4.46,4.18,4.29
2020-03-16,5.32,5.43,4.64,4.64
2020-03-13,4.46,5.15,4.46,5.15
2020-03-12,4.4,4.7,4.3,4.68
2020-03-11,4.3,4.66,4.22,4.48
2020-03-10,4.2,4.29,4.0,4.28
2020-03-09,4.29,4.48,4.25,4.32
2020-03-06,4.25,4.48,4.18,4.37
2020-03-05,4.2,4.53,4.2,4.34
2020-03-04,4.2,4.54,3.96,4.36
2020-03-03,3.85,4.21,3.8,4.21
2020-03-02,3.71,3.83,3.69,3.83
2020-02-28,3.83,3.85,3.7,3.7
2020-02-27,3.91,3.94,3.86,3.93
2020-02-26,3.86,4.05,3.82,3.93
2020-02-25,3.9,3.9,3.74,3.86
2020-02-24,3.99,3.99,3.91,3.96
2020-02-21,3.93,4.09,3.91,4.01
2020-02-20,3.9,3.96,3.85,3.95
2020-02-19,3.92,3.94,3.87,3.9
2020-02-18,3.83,3.93,3.82,3.92
2020-02-17,3.84,3.87,3.78,3.86
2020-02-14,3.77,3.81,3.7,3.77
2020-02-13,3.83,3.92,3.76,3.8
2020-02-12,4.02,4.2,3.87,3.95
2020-02-11,3.7,4.02,3.7,4.02
2020-02-10,3.56,3.69,3.53,3.65
2020-02-07,3.52,3.59,3.49,3.58
2020-02-06,3.55,3.56,3.47,3.53
2020-02-05,3.42,3.54,3.4,3.53
2020-02-04,3.25,3.48,3.25,3.4
2020-02-03,3.6,3.6,3.6,3.6
2020-01-23,3.88,4.08,3.88,4.0
2020-01-22,4.3,4.33,4.22,4.31
2020-01-21,4.41,4.41,4.28,4.3
2020-01-20,4.4,4.41,4.34,4.38
2020-01-17,4.43,4.46,4.37,4.37
2020-01-16,4.54,4.54,4.4,4.42
2020-01-15,4.6,4.6,4.51,4.52
2020-01-14,4.59,4.63,4.55,4.63
2020-01-13,4.6,4.62,4.51,4.59
2020-01-10,4.65,4.82,4.62,4.66
2020-01-09,4.59,4.67,4.59,4.63
2020-01-08,4.67,4.67,4.53,4.56
2020-01-07,4.61,4.69,4.6,4.69
2020-01-06,4.56,4.65,4.52,4.61
2020-01-03,4.59,4.63,4.55,4.6
2020-01-02,4.53,4.61,4.51,4.58
2019-12-31,4.48,4.56,4.45,4.52
2019-12-30,4.5,4.55,4.35,4.49
2019-12-27,4.6,4.64,4.55,4.55
2019-12-26,4.57,4.61,4.52,4.59
2019-12-25,4.56,4.61,4.48,4.54
2019-12-24,4.46,4.57,4.45,4.56
2019-12-23,4.54,4.6,4.44,4.44
2019-12-20,4.7,4.74,4.55,4.56
2019-12-19,4.61,4.69,4.57,4.69
2019-12-18,4.59,4.67,4.58,4.62
2019-12-17,4.49,4.61,4.49,4.59
2019-12-16,4.45,4.52,4.42,4.51
2019-12-13,4.43,4.46,4.4,4.44
2019-12-12,4.44,4.5,4.39,4.4
2019-12-11,4.49,4.77,4.39,4.53
2019-12-10,4.44,4.52,4.43,4.48
2019-12-09,4.45,4.5,4.43,4.46
2019-12-06,4.44,4.47,4.42,4.47
2019-12-05,4.38,4.44,4.36,4.42
2019-12-04,4.31,4.44,4.31,4.39
2019-12-03,4.28,4.36,4.25,4.33
2019-12-02,4.26,4.31,4.25,4.29
2019-11-29,4.3,4.32,4.23,4.26
2019-11-28,4.41,4.44,4.3,4.31
2019-11-27,4.35,4.59,4.27,4.44
2019-11-26,4.31,4.34,4.26,4.33
2019-11-25,4.39,4.42,4.28,4.3
2019-11-22,4.61,4.63,4.4,4.43
2019-11-21,4.44,4.62,4.44,4.61
2019-11-20,4.43,4.54,4.42,4.47
2019-11-19,4.42,4.49,4.36,4.47
2019-11-18,4.34,4.52,4.19,4.43
2019-11-15,4.34,4.4,4.25,4.39
2019-11-14,4.39,4.45,4.31,4.34
2019-11-13,4.33,4.4,4.3,4.4
2019-11-12,4.2,4.38,4.18,4.33
2019-11-11,4.31,4.32,4.16,4.18
2019-11-08,4.38,4.42,4.33,4.34
2019-11-07,4.3,4.39,4.28,4.37
2019-11-06,4.38,4.39,4.25,4.31
2019-11-05,4.37,4.4,4.31,4.35
2019-11-04,4.41,4.45,4.36,4.38
2019-11-01,4.31,4.41,4.28,4.39
2019-10-31,4.43,4.49,4.31,4.31
2019-10-30,4.47,4.57,4.41,4.44
2019-10-29,4.58,4.63,4.45,4.47
2019-10-28,4.54,4.64,4.51,4.6
2019-10-25,4.53,4.58,4.46,4.56
2019-10-24,4.57,4.58,4.48,4.52
2019-10-23,4.64,4.65,4.53,4.53
2019-10-22,4.64,4.65,4.51,4.65
2019-10-21,4.79,4.79,4.6,4.65
2019-10-18,4.73,4.8,4.62,4.62
2019-10-17,4.8,4.88,4.72,4.75
2019-10-16,4.97,5.0,4.82,4.85
2019-10-15,4.91,5.18,4.81,5.05
2019-10-14,4.95,5.04,4.89,4.98
2019-10-11,4.89,4.92,4.81,4.9
2019-10-10,4.9,4.9,4.82,4.87
2019-10-09,4.74,4.89,4.73,4.86
2019-10-08,4.8,4.9,4.75,4.79
2019-09-30,4.91,4.98,4.77,4.77
2019-09-27,4.76,4.93,4.71,4.87
2019-09-26,5.01,5.03,4.72,4.74
2019-09-25,5.06,5.12,4.98,5.04
2019-09-24,5.09,5.15,5.02,5.06
2019-09-23,5.05,5.14,4.97,5.12
2019-09-20,5.12,5.15,5.05,5.09
2019-09-19,5.12,5.2,4.97,5.14
2019-09-18,5.32,5.42,5.18,5.19
2019-09-17,5.3,5.59,5.3,5.41
2019-09-16,5.39,5.39,5.3,5.35
2019-09-12,5.36,5.42,5.32,5.34
2019-09-11,5.46,5.52,5.28,5.31
2019-09-10,5.67,5.67,5.46,5.48
2019-09-09,5.63,5.65,5.1,5.56
2019-09-06,5.56,5.81,5.5,5.59
2019-09-05,5.69,5.85,5.61,5.62
2019-09-04,5.66,5.97,5.56,5.77
2019-09-03,6.06,6.49,5.9,5.91
2019-09-02,5.47,6.19,5.21,6.19
2019-08-30,6.1,6.28,5.63,5.63
2019-08-29,5.84,6.25,5.45,6.25
2019-08-28,5.24,5.68,5.2,5.68
2019-08-27,5.0,5.4,4.97,5.16
2019-08-26,4.92,5.32,4.92,5.1
2019-08-23,5.58,5.64,5.32,5.32
2019-08-22,5.95,5.95,5.6,5.91
2019-08-21,5.41,5.41,5.41,5.41
2019-08-20,4.8,4.92,4.62,4.92
2019-08-19,4.47,4.47,4.44,4.47
2019-08-16,3.94,4.22,3.94,4.06
2019-08-15,3.81,3.96,3.8,3.96
2019-08-14,3.98,4.01,3.95,3.95
2019-08-13,3.97,4.0,3.93,3.95
2019-08-12,3.88,3.98,3.81,3.97
2019-08-09,3.91,3.95,3.85,3.86
2019-08-08,3.92,3.94,3.89,3.9
2019-08-07,3.95,3.98,3.89,3.9
2019-08-06,4.04,4.04,3.81,3.96
2019-08-05,4.2,4.24,4.1,4.11
2019-08-02,4.22,4.26,4.15,4.21
2019-08-01,4.25,4.32,4.24,4.28
2019-07-31,4.34,4.36,4.24,4.29
2019-07-30,4.31,4.37,4.3,4.36
2019-07-29,4.41,4.43,4.3,4.34
2019-07-26,4.41,4.53,4.41,4.44
2019-07-25,4.45,4.47,4.38,4.45
2019-07-24,4.29,4.5,4.29,4.5
2019-07-23,4.21,4.51,4.21,4.31
2019-07-22,4.41,4.41,4.18,4.22
2019-07-19,4.29,4.72,4.29,4.43
2019-07-18,4.37,4.4,4.27,4.29
2019-07-17,4.39,4.48,4.37,4.4
2019-07-16,4.37,4.42,4.34,4.4
2019-07-15,4.29,4.42,4.25,4.37
2019-07-12,4.21,4.34,4.21,4.32
2019-07-11,4.3,4.36,4.24,4.26
2019-07-10,4.34,4.34,4.28,4.29
2019-07-09,4.35,4.35,4.27,4.34
2019-07-08,4.46,4.59,4.28,4.36
2019-07-05,4.53,4.53,4.45,4.5
2019-07-04,4.5,4.57,4.49,4.53
2019-07-03,4.61,4.61,4.49,4.51
2019-07-02,4.58,4.62,4.55,4.61
2019-07-01,4.51,4.65,4.51,4.61
2019-06-28,4.52,4.53,4.42,4.47
2019-06-27,4.64,4.64,4.51,4.52
2019-06-26,4.54,4.57,4.48,4.53
2019-06-25,4.65,4.67,4.49,4.56
2019-06-24,4.62,4.68,4.52,4.68
2019-06-21,4.69,4.74,4.6,4.62
2019-06-20,4.44,4.58,4.43,4.53
2019-06-19,4.56,4.62,4.46,4.48
2019-06-18,4.47,4.53,4.44,4.48
2019-06-17,4.46,4.55,4.42,4.51
2019-06-14,4.61,4.64,4.47,4.47
2019-06-13,4.6,4.75,4.52,4.56
2019-06-12,4.31,4.75,4.31,4.75
2019-06-11,4.16,4.33,4.15,4.32
2019-06-10,4.14,4.18,4.07,4.17
2019-06-06,4.31,4.31,4.05,4.07
2019-06-05,4.31,4.37,4.27,4.3
2019-06-04,4.36,4.43,4.21,4.27
2019-06-03,4.36,4.5,4.34,4.39
2019-05-31,4.48,4.55,4.38,4.43
2019-05-30,4.54,4.55,4.44,4.51
2019-05-29,4.51,4.62,4.47,4.6
2019-05-28,4.54,4.76,4.48,4.6
2019-05-27,4.3,4.65,4.23,4.65
2019-05-24,4.18,4.28,4.18,4.23
2019-05-23,4.35,4.42,4.18,4.21
2019-05-22,4.42,4.46,4.3,4.35
2019-05-21,4.27,4.44,4.26,4.39
2019-05-20,4.34,4.37,4.1,4.28
2019-05-17,4.62,4.64,4.28,4.34
2019-05-16,4.55,4.66,4.51,4.61
2019-05-15,4.47,4.57,4.46,4.55
2019-05-14,4.44,4.56,4.43,4.45
2019-05-13,4.49,4.57,4.45,4.52
2019-05-10,4.38,4.53,4.31,4.5
2019-05-09,4.39,4.45,4.34,4.35
2019-05-08,4.38,4.47,4.33,4.4
2019-05-07,4.39,4.53,4.36,4.43
2019-05-06,4.51,4.68,4.34,4.35
2019-04-30,4.66,4.8,4.6,4.74
2019-04-29,4.88,4.93,4.46,4.64
2019-04-26,4.89,5.0,4.84,4.88
2019-04-25,5.23,5.23,4.9,4.91
